date,TEMP,DEWP,SLP,WDSP,MAX,MIN,PRCP,co_24h,no2_24h,o3_24h,pm10_24h,pm25_24h,so2_24h,AQI,TEMP_DIFF,PRCP_BINARY,AQI_lag1,pm25_24h_lag1,pm10_24h_lag1,o3_24h_lag1,co_24h_lag1,no2_24h_lag1,so2_24h_lag1,TEMP_lag1,TEMP_lag2,DEWP_lag1,DEWP_lag2,SLP_lag1,SLP_lag2,WDSP_lag1,WDSP_lag2,MAX_lag1,MAX_lag2,MIN_lag1,MIN_lag2,PRCP_lag1,PRCP_lag2,TEMP_DIFF_lag1,TEMP_DIFF_lag2,PRCP_BINARY_lag1,PRCP_BINARY_lag2
2024-01-14,42.2,21.3,1010.5,9.3,55.9,28.2,0.0,0.2416666666666666,0.0076041666666666,0.03275,7.791666666666667,2.658333333333333,0.0,30,27.7,0,31.0,4.48695652173913,10.0,0.0332608695652173,0.2869565217391304,0.0115434782608695,0.0,36.9,25.7,11.8,6.4,1014.6,1014.6,6.8,7.4,50.0,43.0,14.0,14.0,0.0,0.0,36.0,29.0,0.0,0.0
2024-01-15,40.0,24.2,1012.1,6.2,55.9,26.1,0.0,0.2818181818181818,0.013878947368421,0.0235,10.833333333333334,4.533333333333333,0.0,25,29.799999999999997,0,30.0,2.658333333333333,7.791666666666667,0.03275,0.2416666666666666,0.0076041666666666,0.0,42.2,36.9,21.3,11.8,1010.5,1014.6,9.3,6.8,55.9,50.0,28.2,14.0,0.0,0.0,27.7,36.0,0.0,0.0
2024-01-16,32.4,15.5,1018.6,5.4,52.0,16.0,0.0,0.1875,0.0115833333333333,0.0221666666666666,18.45833333333333,4.7125,0.0,26,36.0,0,25.0,4.533333333333333,10.833333333333334,0.0235,0.2818181818181818,0.013878947368421,0.0,40.0,42.2,24.2,21.3,1012.1,1010.5,6.2,9.3,55.9,55.9,26.1,28.2,0.0,0.0,29.799999999999997,27.7,0.0,0.0
2024-01-17,35.3,17.0,1017.7,4.2,50.0,16.0,0.0,0.45,0.0314428571428571,0.012,22.357142857142858,6.278571428571429,0.0,35,34.0,0,26.0,4.7125,18.45833333333333,0.0221666666666666,0.1875,0.0115833333333333,0.0,32.4,40.0,15.5,24.2,1018.6,1012.1,5.4,6.2,52.0,55.9,16.0,26.1,0.0,0.0,36.0,29.799999999999997,0.0,0.0
2024-01-18,43.0,28.1,1016.3,5.5,57.0,21.9,0.0,0.2666666666666666,0.0152124999999999,0.0225,12.227272727272728,3.654545454545455,0.0,21,35.1,0,35.0,6.278571428571429,22.357142857142858,0.012,0.45,0.0314428571428571,0.0,35.3,32.4,17.0,15.5,1017.7,1018.6,4.2,5.4,50.0,52.0,16.0,16.0,0.0,0.0,34.0,36.0,0.0,0.0
2024-01-19,40.8,25.5,1023.0,5.3,57.0,28.9,0.0,0.3666666666666667,0.0179333333333333,0.0179166666666666,18.291666666666668,6.483333333333333,0.0,36,28.1,0,21.0,3.654545454545455,12.227272727272728,0.0225,0.2666666666666666,0.0152124999999999,0.0,43.0,35.3,28.1,17.0,1016.3,1017.7,5.5,4.2,57.0,50.0,21.9,16.0,0.0,0.0,35.1,34.0,0.0,0.0
2024-01-20,40.0,24.4,1020.5,2.3,53.1,28.0,0.0,0.4041666666666666,0.0219416666666666,0.014875,29.08333333333333,9.291666666666666,0.0,51,25.1,0,36.0,6.483333333333333,18.291666666666668,0.0179166666666666,0.3666666666666667,0.0179333333333333,0.0,40.8,43.0,25.5,28.1,1023.0,1016.3,5.3,5.5,57.0,57.0,28.9,21.9,0.0,0.0,28.1,35.1,0.0,0.0
2024-01-21,42.8,27.5,1014.0,3.4,53.1,28.0,0.0,0.1909090909090909,0.0122421052631578,0.0234090909090909,29.08333333333333,7.6375,0.0,42,25.1,0,51.0,9.291666666666666,29.08333333333333,0.014875,0.4041666666666666,0.0219416666666666,0.0,40.0,40.8,24.4,25.5,1020.5,1023.0,2.3,5.3,53.1,57.0,28.0,28.9,0.0,0.0,25.1,28.1,0.0,0.0
2024-01-22,43.2,35.2,1012.1,2.9,51.1,37.9,0.0,0.2458333333333333,0.0136041666666666,0.0177083333333333,15.083333333333334,6.0625,0.0,34,13.200000000000003,0,42.0,7.6375,29.08333333333333,0.0234090909090909,0.1909090909090909,0.0122421052631578,0.0,42.8,40.0,27.5,24.4,1014.0,1020.5,3.4,2.3,53.1,53.1,28.0,28.0,0.0,0.0,25.1,25.1,0.0,0.0
2024-01-23,40.1,34.4,1012.0,4.1,51.1,30.9,0.02,0.2791666666666667,0.0142874999999999,0.0146249999999999,12.708333333333334,5.3125,0.0,30,20.200000000000003,1,34.0,6.0625,15.083333333333334,0.0177083333333333,0.2458333333333333,0.0136041666666666,0.0,43.2,42.8,35.2,27.5,1012.1,1014.0,2.9,3.4,51.1,53.1,37.9,28.0,0.0,0.0,13.200000000000003,25.1,0.0,0.0
