date,co_24h,no2_24h,o3_24h,pm10_24h,pm25_24h,so2_24h,AQI
2024-01-01,0.2473684210526316,0.02220526315789472,0.013809523809523808,26.47826086956522,15.069565217391306,0.0,62
2024-01-02,0.27142857142857146,0.012095833333333325,0.025541666666666667,12.041666666666666,4.854166666666667,0.0,27
2024-01-03,0.5041666666666667,0.02810833333333333,0.012624999999999999,20.956521739130434,7.134782608695652,0.0,40
2024-01-04,0.15714285714285717,0.008457142857142838,0.02895238095238095,7.833333333333333,3.1333333333333333,0.0,27
2024-01-05,0.1375,0.007774999999999988,0.03291666666666667,8.125,4.154166666666667,0.0,30
2024-01-06,0.26666666666666666,0.011379166666666668,0.02729166666666667,10.375,5.758333333333333,0.0,32
2024-01-07,0.2409090909090909,0.008736842105263147,0.028045454545454544,8.791666666666666,3.4916666666666667,0.0,26
2024-01-08,0.21250000000000002,0.0037416666666666622,0.034916666666666665,14.333333333333334,2.3541666666666665,0.0,32
2024-01-09,0.3125,0.010625,0.029583333333333336,11.541666666666666,4.829166666666667,0.0,27
2024-01-10,0.35000000000000003,0.018666666666666658,0.022416666666666668,15.25,5.6875,0.0,32
2024-01-11,0.2041666666666667,0.005491666666666666,0.03758333333333334,15.541666666666666,2.408333333333333,0.0,35
2024-01-12,0.29583333333333334,0.014045833333333325,0.02791666666666667,10.0,3.8958333333333335,0.0,26
2024-01-13,0.28695652173913044,0.011543478260869567,0.03326086956521739,10.0,4.48695652173913,0.0,31
2024-01-14,0.24166666666666667,0.007604166666666658,0.03275,7.791666666666667,2.658333333333333,0.0,30
2024-01-15,0.2818181818181818,0.013878947368421043,0.0235,10.833333333333334,4.533333333333333,0.0,25
2024-01-16,0.1875,0.01158333333333333,0.022166666666666668,18.458333333333332,4.7124999999999995,0.0,26
2024-01-17,0.45000000000000007,0.03144285714285714,0.012,22.357142857142858,6.278571428571429,0.0,35
2024-01-18,0.26666666666666666,0.015212499999999999,0.022500000000000003,12.227272727272727,3.6545454545454548,0.0,21
2024-01-19,0.3666666666666667,0.01793333333333333,0.017916666666666668,18.291666666666668,6.483333333333333,0.0,36
2024-01-20,0.4041666666666666,0.021941666666666654,0.014875,29.083333333333332,9.291666666666666,0.0,51
2024-01-21,0.19090909090909092,0.012242105263157879,0.02340909090909091,29.083333333333332,7.6375,0.0,42
2024-01-22,0.24583333333333335,0.013604166666666667,0.017708333333333333,15.083333333333334,6.0625,0.0,34
2024-01-23,0.2791666666666667,0.014287499999999993,0.014624999999999999,12.708333333333334,5.3125,0.0,30
2024-01-24,0.25833333333333336,0.013137499999999991,0.015958333333333335,11.041666666666666,6.358333333333333,0.0,35
2024-01-25,0.2333333333333333,0.014387499999999992,0.017708333333333336,7.958333333333333,4.083333333333333,0.0,23
2024-01-26,0.1875,0.008820833333333318,0.026083333333333333,7.083333333333333,3.5708333333333333,0.0,24
2024-01-27,0.27391304347826084,0.014295652173913041,0.021043478260869563,13.0,6.217391304347826,0.0,35
2024-01-28,0.3590909090909091,0.018784210526315778,0.01909090909090909,14.041666666666666,7.6625000000000005,0.0,43
2024-01-29,0.35000000000000003,0.02354166666666666,0.015916666666666666,20.208333333333332,6.354166666666667,0.0,35
2024-01-30,0.23000000000000004,0.016337499999999987,0.021416666666666667,17.041666666666668,5.1625000000000005,0.0,29
2024-01-31,0.18,0.01343529411764704,0.02041176470588235,16.9375,4.05,0.0,22
2024-02-01,0.18333333333333335,0.0069500000000000004,0.02975,9.25,2.766666666666667,0.0,28
2024-02-02,0.17083333333333336,0.006408333333333329,0.03195833333333333,6.5,1.6208333333333333,0.0,30
2024-02-03,0.2,0.006079999999999993,0.03528571428571429,12.066666666666666,1.8066666666666669,0.0,33
2024-02-04,0.22272727272727275,0.005110526315789473,0.03895454545454546,4.416666666666667,1.5,0.0,36
2024-02-05,0.3739130434782609,0.018539130434782603,0.020695652173913042,11.666666666666666,4.495833333333334,0.0,25
2024-02-06,0.2928571428571428,0.01912105263157894,0.01336842105263158,22.625,4.3875,0.0,24
2024-02-07,0.0,0.003286956521739126,0.03882608695652174,6.695652173913044,1.2304347826086957,0.0,36
2024-02-08,0.05652173913043478,0.0038958333333333254,0.03770833333333334,4.75,1.0916666666666666,0.0,35
2024-02-09,0.20833333333333334,0.008762499999999987,0.03741666666666667,7.166666666666667,2.408333333333333,0.0,35
2024-02-10,0.2956521739130435,0.008960869565217381,0.03334782608695652,7.434782608695652,3.2347826086956526,0.0,31
2024-02-11,0.21818181818181817,0.0034947368421052523,0.03563636363636364,5.583333333333333,2.841666666666667,0.0,33
2024-02-12,0.31666666666666665,0.016437499999999987,0.024291666666666666,12.333333333333334,4.0375000000000005,0.0,22
2024-02-13,0.31666666666666665,0.015391666666666663,0.0265,10.625,3.5375,0.0,25
2024-02-14,0.3739130434782609,0.016563636363636346,0.030826086956521736,15.652173913043478,4.304347826086956,0.0,29
2024-02-15,0.33749999999999997,0.016724999999999986,0.027833333333333335,16.818181818181817,4.086363636363637,0.0,26
2024-02-16,0.2708333333333333,0.013483333333333328,0.03025,12.583333333333334,3.591666666666667,0.0,28
2024-02-17,0.22380952380952382,0.008242857142857144,0.02542857142857143,13.285714285714286,6.066666666666667,0.0,34
2024-02-18,0.26666666666666666,0.010099999999999991,0.020583333333333332,13.958333333333334,5.995833333333334,0.0,33
2024-02-19,0.3772727272727273,0.017236842105263148,0.027772727272727272,19.75,6.083333333333333,0.0,34
2024-02-20,0.3458333333333334,0.01982916666666666,0.022833333333333334,25.875,4.7875,0.0,27
2024-02-21,0.3166666666666667,0.01642083333333332,0.023291666666666665,32.208333333333336,4.920833333333333,0.0,30
2024-02-22,0.21666666666666667,0.008379166666666662,0.03225,11.166666666666666,2.4041666666666663,0.0,30
2024-02-23,0.24166666666666667,0.005958333333333333,0.037125,7.958333333333333,1.8499999999999999,0.0,34
2024-02-24,0.26521739130434785,0.009321739130434778,0.03543478260869565,11.130434782608695,2.726086956521739,0.0,33
2024-02-25,0.2791666666666667,0.01582173913043478,0.026041666666666668,14.958333333333334,3.8708333333333336,0.0,24
2024-02-26,0.20454545454545456,0.005491666666666654,0.030333333333333334,40.958333333333336,3.6125000000000003,0.0,38
2024-02-27,0.21666666666666667,0.002489473684210521,0.038,37.708333333333336,3.275,0.0,35
2024-02-28,0.2875,0.005845833333333329,0.04022727272727273,16.25,3.2083333333333335,0.0,37
2024-02-29,0.29500000000000004,0.004144999999999994,0.0373,24.291666666666668,8.533333333333333,0.0,47
2024-03-01,0.24166666666666667,0.008187499999999995,0.032875,11.833333333333334,3.9166666666666665,0.0,30
2024-03-02,0.17083333333333336,0.005291666666666662,0.036375,14.416666666666666,2.525,0.0,34
2024-03-03,0.14347826086956522,0.0016043478260869565,0.03973913043478261,12.08695652173913,1.8043478260869565,0.0,37
2024-03-04,0.19047619047619047,0.007212499999999996,0.033,10.363636363636363,2.3363636363636364,0.0,31
2024-03-05,0.225,0.011026315789473674,0.03204166666666667,15.625,3.4458333333333333,0.0,30
2024-03-06,0.19090909090909092,0.011145833333333329,0.034272727272727274,14.541666666666666,3.079166666666667,0.0,32
2024-03-07,0.1826086956521739,0.00948260869565217,0.03365217391304348,15.391304347826088,2.9956521739130437,0.0,31
2024-03-08,0.22608695652173913,0.010013043478260864,0.029391304347826087,9.043478260869565,3.039130434782609,0.0,27
2024-03-09,0.22083333333333333,0.006487499999999996,0.03320833333333333,7.791666666666667,4.329166666666667,0.0,31
2024-03-10,0.215,0.0048529411764705885,0.0329,8.909090909090908,3.8454545454545452,0.0,30
2024-03-11,0.30416666666666664,0.012220833333333328,0.018,15.166666666666666,4.170833333333333,0.0,23
2024-03-12,0.2541666666666667,0.009931578947368416,0.04766666666666666,21.708333333333332,4.254166666666666,0.0,44
2024-03-13,0.22916666666666666,0.004608333333333333,0.0448125,12.458333333333334,2.6791666666666667,0.0,41
2024-03-14,0.22608695652173913,0.005813043478260857,0.04034782608695652,9.869565217391305,2.765217391304348,0.0,37
2024-03-15,0.20000000000000004,0.0009166666666666666,0.0405,9.333333333333334,1.6875,0.0,38
2024-03-16,0.22916666666666666,0.003437499999999996,0.03320833333333333,7.0,2.4875000000000003,0.0,31
2024-03-17,0.2090909090909091,0.0019157894736842106,0.036500000000000005,3.125,1.6541666666666668,0.0,34
2024-03-18,0.22272727272727275,0.0013714285714285716,0.03979166666666666,6.5,2.404166666666667,0.0,37
2024-03-19,0.21904761904761907,0.0035499999999999998,0.03665217391304348,9.631578947368421,3.4842105263157896,0.0,34
2024-03-20,0.25,,0.044,9.5,3.05,0.0,41
2024-03-21,0.3458333333333334,0.007687499999999994,0.035666666666666666,10.875,3.0416666666666665,0.0,33
2024-03-22,0.17916666666666667,0.009349999999999995,0.034958333333333334,10.083333333333334,2.704166666666667,0.0,32
2024-03-23,0.18333333333333335,0.009379166666666654,0.03320833333333333,13.791666666666666,3.3333333333333335,0.0,31
2024-03-24,0.23000000000000004,0.008660000000000001,0.039125,10.3,2.84,0.0,36
2024-03-25,0.17222222222222222,0.004539130434782608,0.04152173913043478,8.0,1.682608695652174,0.0,38
2024-03-26,0.2533333333333333,0.005808333333333312,0.037875,4.333333333333333,1.3583333333333334,0.0,35
2024-03-27,0.13529411764705881,0.01065833333333332,0.0309,8.0,2.617391304347826,0.0,29
2024-03-28,0.18181818181818182,0.022239999999999992,0.031166666666666665,11.041666666666666,3.1791666666666667,0.0,29
2024-03-29,0.10000000000000002,,0.04008333333333333,10.791666666666666,2.8125,0.0,37
2024-03-30,0.06666666666666667,,0.03741666666666667,15.958333333333334,3.420833333333333,0.0,35
2024-03-31,,,0.048,20.083333333333332,3.1,0.0,44
2024-04-01,,,0.04820833333333333,3.9583333333333335,1.7583333333333335,0.0,45
2024-04-02,0.22999999999999998,0.0034312500000000003,0.035583333333333335,4.363636363636363,1.6045454545454545,0.0,33
2024-04-03,0.37083333333333335,0.008729166666666658,0.035583333333333335,8.25,2.4375,0.0,33
2024-04-04,0.525,0.008058333333333325,0.035124999999999997,12.708333333333334,2.5458333333333334,0.0,33
2024-04-05,0.508695652173913,0.00685454545454545,0.04382608695652174,26.958333333333332,3.5500000000000003,0.0,41
2024-04-06,0.4666666666666666,0.0013210526315789472,0.051125000000000004,15.625,1.9875,0.0,47
2024-04-07,0.4954545454545455,0.002994736842105263,0.04359090909090909,6.625,1.825,0.0,40
2024-04-08,0.29444444444444445,0.00718499999999999,0.03760869565217391,14.208333333333334,2.7916666666666665,0.0,35
2024-04-09,0.2833333333333333,0.00425,0.04842105263157895,18.708333333333332,3.275,0.0,45
2024-04-10,0.2833333333333333,0.006452631578947369,0.03991666666666666,15.583333333333334,3.8249999999999997,0.0,37
2024-04-11,0.4083333333333334,0.010039130434782604,0.03778260869565218,18.166666666666668,4.041666666666667,0.0,35
2024-04-12,0.4666666666666666,0.008908333333333329,0.03958333333333334,35.291666666666664,5.120833333333333,0.0,37
2024-04-13,0.44782608695652176,0.0050391304347826085,0.051782608695652176,27.125,4.6,0.0,48
2024-04-14,0.42083333333333334,0.004389473684210521,0.05422727272727273,13.583333333333334,3.045833333333333,0.0,17
2024-04-15,0.4142857142857143,0.004474999999999992,0.05645833333333333,27.625,3.3208333333333333,0.0,56
2024-04-16,0.275,0.005204166666666658,0.04929166666666667,13.4,2.3899999999999997,0.0,46
2024-04-17,0.35833333333333334,0.009904166666666667,0.04029166666666666,13.833333333333334,3.0625,0.0,37
2024-04-18,0.32916666666666666,0.005387499999999996,0.04629166666666667,15.130434782608695,2.6956521739130435,0.0,43
2024-04-19,0.3173913043478261,0.005678260869565213,0.04573913043478261,34.083333333333336,4.695833333333334,0.0,42
2024-04-20,0.30416666666666664,0.0026166666666666664,0.04533333333333334,25.791666666666668,0.0,0.0,42
2024-04-21,0.3,0.003463157894736837,0.040090909090909094,19.541666666666668,0.0,0.0,37
2024-04-22,0.21000000000000002,0.0059,0.03779166666666667,15.2,2.433333333333333,0.0,35
2024-04-23,0.2625,0.0069625,0.04675000000000001,28.75,6.066666666666666,0.0,43
2024-04-24,0.30416666666666664,0.005554166666666654,0.04741666666666666,35.833333333333336,5.004166666666667,0.0,44
2024-04-25,0.32916666666666666,0.006491666666666666,0.043375,22.708333333333332,3.5208333333333335,0.0,40
2024-04-26,0.3,0.003230434782608691,0.04934782608695652,15.791666666666666,3.3625000000000003,0.0,46
2024-04-27,0.325,0.0024541666666666622,0.049499999999999995,14.208333333333334,2.9625,0.0,46
2024-04-28,0.325,0.0030052631578947266,0.03977272727272727,4.833333333333333,1.7083333333333333,0.0,37
2024-04-29,0.16999999999999998,0.007166666666666666,0.034041666666666665,9.541666666666666,2.4875000000000003,0.0,32
2024-04-30,0.2916666666666667,0.005779166666666658,0.042583333333333334,12.333333333333334,2.7624999999999997,0.0,39
2024-05-01,0.6545454545454545,0.008729166666666661,0.044625,18.291666666666668,3.5666666666666664,0.0,41
2024-05-02,0.1,0.005162499999999996,0.05054166666666667,18.083333333333332,4.0874999999999995,0.0,47
2024-05-03,0.15,0.005987499999999987,0.046875,21.5,4.683333333333334,0.0,43
2024-05-04,0.2041666666666667,0.0055125,0.043541666666666666,28.458333333333332,5.0874999999999995,0.0,40
2024-05-05,0.19166666666666668,0.002773684210526316,0.04968181818181818,26.875,5.875,0.0,46
2024-05-06,0.155,0.0024875,0.05479166666666666,21.818181818181817,2.9909090909090907,0.0,20
2024-05-07,0.2041666666666667,0.0035749999999999914,0.04791666666666666,25.91304347826087,4.178260869565217,0.0,44
2024-05-08,0.19583333333333333,0.003520833333333333,0.05179166666666667,20.5,3.5875,0.0,48
2024-05-09,0.1473684210526316,0.003309999999999995,0.049,29.458333333333332,4.1499999999999995,0.0,45
2024-05-10,0.1,0.0007791666666666667,0.055625,35.57142857142857,4.6875,0.0,53
2024-05-11,0.19583333333333333,0.0025125,0.04779166666666667,,4.9,0.0,44
2024-05-12,0.20000000000000004,0.0041578947368421,0.04968181818181818,,4.9,0.0,46
2024-05-13,0.20476190476190476,0.005466666666666658,0.042374999999999996,11.222222222222221,3.6,0.0,39
2024-05-14,0.20833333333333334,0.004142105263157894,0.04654545454545455,15.08695652173913,3.4130434782608696,0.0,43
2024-05-15,0.16521739130434784,0.005599999999999995,0.050391304347826085,16.333333333333332,3.7125,0.0,47
2024-05-16,0.15833333333333335,0.003616666666666667,0.05508333333333334,6.333333333333333,2.6666666666666665,0.0,51
2024-05-17,0.20714285714285716,0.0066642857142857,0.039071428571428576,9.785714285714286,3.2214285714285715,0.0,36
2024-05-18,0.12608695652173915,0.004573913043478256,0.05217391304347826,17.391304347826086,4.195652173913044,0.0,48
2024-05-19,0.1375,0.004131578947368421,0.052636363636363634,17.0,5.0625,0.0,49
2024-05-20,0.13333333333333336,0.0036291666666666586,0.05179166666666667,27.583333333333332,3.904166666666667,0.0,48
2024-05-21,0.18695652173913044,0.003447826086956509,0.051000000000000004,19.90909090909091,3.809090909090909,0.0,47
2024-05-22,0.19130434782608696,0.0041173913043478175,0.05369565217391305,19.652173913043477,4.356521739130435,0.0,50
2024-05-23,0.20434782608695654,0.002882608695652174,0.06369565217391304,22.782608695652176,5.034782608695652,0.0,79
2024-05-24,0.2041666666666667,0.0039208333333333335,0.05620833333333333,24.416666666666668,5.279166666666667,0.0,55
2024-05-25,0.15,0.0035625,0.050499999999999996,29.291666666666668,6.020833333333333,0.0,47
2024-05-26,0.17500000000000002,0.001908333333333329,0.051166666666666666,14.75,3.0416666666666665,0.0,47
2024-05-27,0.18333333333333335,0.0034473684210526157,0.048318181818181816,14.666666666666666,3.9958333333333336,0.0,45
2024-05-28,0.18095238095238098,0.004974999999999999,0.04808333333333333,28.458333333333332,4.070833333333334,0.0,45
2024-05-29,0.1875,0.0028125000000000003,0.05629166666666666,34.458333333333336,7.304166666666667,0.0,55
2024-05-30,0.17083333333333336,0.00667083333333333,0.052875,24.5,4.191666666666666,0.0,49
2024-05-31,0.16666666666666666,0.005958333333333329,0.052,29.416666666666668,6.320833333333333,0.0,48
2024-06-01,0.1391304347826087,0.0034695652173913,0.058869565217391305,28.0,5.266666666666667,0.0,64
2024-06-02,0.17826086956521742,0.002865217391304339,0.058304347826086955,19.458333333333332,3.983333333333333,0.0,62
2024-06-03,0.2,0.003949999999999993,0.05894117647058823,17.894736842105264,3.6578947368421053,0.0,64
2024-06-04,0.18695652173913044,0.003686956521739126,0.04695652173913044,26.285714285714285,4.728571428571429,0.0,43
2024-06-05,0.15416666666666667,0.005270833333333333,0.04566666666666667,20.041666666666668,4.1375,0.0,42
2024-06-06,0.1375,0.004520833333333329,0.043125,15.708333333333334,2.841666666666667,0.0,40
2024-06-07,0.17083333333333336,0.005254166666666658,0.050708333333333334,50.75,8.4375,0.0,47
2024-06-08,0.19583333333333333,0.006879166666666666,0.04041666666666666,22.041666666666668,5.170833333333333,0.0,37
2024-06-09,0.15833333333333335,0.0027736842105263106,0.048499999999999995,20.5,5.241666666666666,0.0,45
2024-06-10,0.1619047619047619,0.0036181818181818186,0.043416666666666666,10.416666666666666,4.504166666666666,0.0,40
2024-06-11,0.13333333333333333,0.004325,0.028833333333333332,11.75,4.145833333333333,0.0,27
2024-06-12,0.1368421052631579,0.005421052631578947,0.059,17.42105263157895,4.968421052631578,0.0,64
2024-06-13,0.13478260869565217,0.007600000000000001,0.04817391304347827,26.608695652173914,7.104347826086957,0.0,45
2024-06-14,0.11904761904761904,0.0032619047619047623,0.05366666666666667,33.666666666666664,7.020833333333333,0.0,50
2024-06-15,0.15,0.0037874999999999996,0.051125,16.083333333333332,6.891666666666667,0.0,47
2024-06-16,0.17916666666666667,0.004936842105263142,0.049363636363636366,24.083333333333332,8.304166666666667,0.0,46
2024-06-17,0.11500000000000002,0.004625,0.046857142857142854,24.5,5.3125,0.0,43
2024-06-18,0.13043478260869565,0.002460869565217387,0.05156521739130435,22.38095238095238,4.704761904761905,0.0,48
2024-06-19,0.17857142857142858,0.005221428571428571,0.0405,33.09090909090909,5.9363636363636365,0.0,38
2024-06-20,0.12608695652173915,0.0008826086956521739,0.03752173913043478,18.08695652173913,4.604347826086957,0.0,35
2024-06-21,0.1565217391304348,0.002173913043478261,0.030086956521739133,12.521739130434783,2.8521739130434782,0.0,28
