"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"72365023050","2024-01-21","35.04189","-106.61545","1618.4","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","  42.8","24","  27.5","24","1014.0","24","835.1","24","  9.8","24","  3.4","24","  8.9","999.9","  53.1"," ","  28.0"," "," 0.00","G","999.9","010000"
"72365023050","2024-01-22","35.04189","-106.61545","1618.4","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","  43.2","24","  35.2","24","1012.1","24","833.7","24"," 10.0","24","  2.9","24","  6.0","999.9","  51.1"," ","  37.9"," "," 0.00","G","999.9","010000"
"72365023050","2024-01-23","35.04189","-106.61545","1618.4","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","  40.1","24","  34.4","24","1012.0","24","833.3","24"," 10.0","24","  4.1","24"," 11.1","999.9","  51.1"," ","  30.9"," "," 0.02","G","999.9","010000"
"72365023050","2024-01-24","35.04189","-106.61545","1618.4","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","  41.9","24","  38.6","24","1013.5","20","834.7","24","  9.0","24","  3.4","24","  7.0","999.9","  46.9"," ","  30.9"," "," 0.02","G","999.9","010000"
"72365023050","2024-01-25","35.04189","-106.61545","1618.4","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","  39.9","24","  35.2","24","1016.2","24","836.6","24"," 10.0","24","  3.5","24","  7.0","999.9","  46.9"," ","  35.1"," "," 0.03","G","999.9","010000"
"72365023050","2024-01-26","35.04189","-106.61545","1618.4","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","  40.8","24","  34.7","24","1016.0","21","836.1","24","  9.7","24","  4.3","24"," 12.0"," 18.1","  50.0"," ","  35.1"," "," 0.03","G","999.9","010000"
"72365023050","2024-01-27","35.04189","-106.61545","1618.4","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","  40.9","24","  29.3","24","1027.2","24","845.9","24"," 10.0","24","  3.8","24"," 12.0","999.9","  53.1"," ","  30.0"," "," 0.00","G","999.9","000000"
"72365023050","2024-01-28","35.04189","-106.61545","1618.4","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","  39.4","24","  23.8","24","1029.3","24","847.3","24"," 10.0","24","  2.8","24","  8.9","999.9","  54.0"," ","  27.0"," "," 0.00","G","999.9","000000"
"72365023050","2024-01-29","35.04189","-106.61545","1618.4","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","  41.3","24","  24.8","24","1027.7","24","846.0","24"," 10.0","24","  2.7","24","  7.0","999.9","  59.0"," ","  27.0"," "," 0.00","G","999.9","000000"
"72365023050","2024-01-30","35.04189","-106.61545","1618.4","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","  45.3","24","  24.2","24","1024.1","24","843.9","24"," 10.0","24","  4.4","24"," 11.1","999.9","  61.0"," ","  27.0"," "," 0.00","G","999.9","000000"
